outbound_departure_airport;outbound_arrival_airport;outbound_departure_time;outbound_arrival_time;inbound_departure_airport;inbound_arrival_airport;inbound_departure_time;inbound_arrival_time;total_price;taxes
ARN;LHR;Wed Sep 08 07:45:00 GMT 2021;Wed Sep 08 16:25:00 GMT 2021;LHR;ARN;Wed Sep 15 18:05:00 GMT 2021;Wed Sep 15 21:35:00 GMT 2021;213.59;127.59
ARN;LHR;Wed Sep 08 07:45:00 GMT 2021;Wed Sep 08 16:25:00 GMT 2021;LHR;ARN;Wed Sep 15 17:30:00 GMT 2021;Wed Sep 15 22:25:00 GMT 2021;368.82;174.82
ARN;LHR;Wed Sep 08 09:25:00 GMT 2021;Wed Sep 08 16:25:00 GMT 2021;LHR;ARN;Wed Sep 15 18:05:00 GMT 2021;Wed Sep 15 21:35:00 GMT 2021;404.48;143.48
ARN;LHR;Wed Sep 08 09:25:00 GMT 2021;Wed Sep 08 16:25:00 GMT 2021;LHR;ARN;Wed Sep 15 17:30:00 GMT 2021;Wed Sep 15 22:25:00 GMT 2021;559.71;190.71
ARN;LHR;Wed Sep 08 15:25:00 GMT 2021;Wed Sep 08 17:00:00 GMT 2021;LHR;ARN;Wed Sep 15 18:05:00 GMT 2021;Wed Sep 15 21:35:00 GMT 2021;191.18;105.18
ARN;LHR;Wed Sep 08 15:25:00 GMT 2021;Wed Sep 08 17:00:00 GMT 2021;LHR;ARN;Wed Sep 15 17:30:00 GMT 2021;Wed Sep 15 22:25:00 GMT 2021;346.41;152.41
